,s,p,o,type,ss,os,obj_len_3b,obj_len_sm,prompt
6996,Q104761,P17,Q183,train,Bayer 04 Leverkusen,Germany,2,2,Which country does Bayer 04 Leverkusen belong to?
6997,Q104231,P17,Q34,train,Stockholm County,Sweden,2,2,Which country does Stockholm County belong to?
6998,Q105626471,P17,Q668,train,subdistrict of India,India,2,2,Which country does subdistrict of India belong to?
6999,Q10855195,P17,Q142,train,Officer of the Legion of Honour,France,2,2,Which country does Officer of the Legion of Honour belong to?
7000,Q24313652,P50,Q1458081,train,Activation of cAMP and mitogen responsive genes relies on a common nuclear factor,Michael Karin,4,4,Who is the author of Activation of cAMP and mitogen responsive genes relies on a common nuclear factor?
7001,Q22003995,P50,Q969420,train,"SXR, a novel steroid and xenobiotic-sensing nuclear receptor",Ronald M. Evans,5,5,"Who is the author of SXR, a novel steroid and xenobiotic-sensing nuclear receptor?"
7002,Q24299059,P50,Q1681665,train,"Isolation of nitric oxide synthetase, a calmodulin-requiring enzyme",Solomon Halbert Snyder,5,5,"Who is the author of Isolation of nitric oxide synthetase, a calmodulin-requiring enzyme?"
7003,Q28267375,P50,Q573246,train,HIV infection is active and progressive in lymphoid tissue during the clinically latent stage of disease,Anthony Fauci,4,4,Who is the author of HIV infection is active and progressive in lymphoid tissue during the clinically latent stage of disease?
7004,Q24617406,P50,Q6176271,train,Two defects contribute to hypothalamic leptin resistance in mice with diet-induced obesity,Jeffrey Scott Flier,5,5,Who is the author of Two defects contribute to hypothalamic leptin resistance in mice with diet-induced obesity?
7005,Q33554238,P50,Q4743610,train,Standards of medical care in diabetes--2010.,American Diabetes Association,4,4,Who is the author of Standards of medical care in diabetes--2010.?
7006,Q22061726,P50,Q59698496,train,Intrinsically Disordered Proteins in Human Diseases: Introducing the D 2 Concept,Vladimir Uversky,5,5,Who is the author of Intrinsically Disordered Proteins in Human Diseases: Introducing the D 2 Concept?
7007,Q26778490,P50,Q827502,train,A technique for radiolabeling DNA restriction endonuclease fragments to high specific activity,Bert Vogelstein,4,4,Who is the author of A technique for radiolabeling DNA restriction endonuclease fragments to high specific activity?
7008,Q24563474,P50,Q880181,train,VIP21/caveolin is a cholesterol-binding protein,Kai Simons,4,4,Who is the author of VIP21/caveolin is a cholesterol-binding protein?
7009,Q24546258,P50,Q104281850,train,Adoptive immunotherapy for cancer: building on success,Steven A Rosenberg,5,5,Who is the author of Adoptive immunotherapy for cancer: building on success?
7010,Q24683570,P50,Q2087457,train,The major histocompatibility complex-restricted antigen receptor on T cells. I. Isolation with a monoclonal antibody,Philippa Marrack,5,5,Who is the author of The major histocompatibility complex-restricted antigen receptor on T cells. I. Isolation with a monoclonal antibody?
7011,Q24322008,P50,Q5677403,train,Flotillin and epidermal surface antigen define a new family of caveolae-associated integral membrane proteins,Harvey Lodish,5,5,Who is the author of Flotillin and epidermal surface antigen define a new family of caveolae-associated integral membrane proteins?
7012,Q24308005,P50,Q19667788,train,Glycogen synthase kinase-3 regulates mitochondrial outer membrane permeabilization and apoptosis by destabilization of MCL-1,Douglas R. Green,5,5,Who is the author of Glycogen synthase kinase-3 regulates mitochondrial outer membrane permeabilization and apoptosis by destabilization of MCL-1?
7013,Q22122172,P50,Q970550,train,Initial impact of the sequencing of the human genome,Eric Lander,4,4,Who is the author of Initial impact of the sequencing of the human genome?
7014,Q24290609,P50,Q15059118,train,"Hepcidin, a urinary antimicrobial peptide synthesized in the liver",Tomas Ganz,5,5,"Who is the author of Hepcidin, a urinary antimicrobial peptide synthesized in the liver?"
7015,Q29547845,P50,Q155529,train,The molecular biology of memory storage: a dialogue between genes and synapses,Eric Kandel,4,4,Who is the author of The molecular biology of memory storage: a dialogue between genes and synapses?
7016,Q24564406,P50,Q1866929,train,An endotoxin-induced serum factor that causes necrosis of tumors,Lloyd J. Old,5,5,Who is the author of An endotoxin-induced serum factor that causes necrosis of tumors?
7017,Q28202177,P50,Q6768760,train,Excitotoxic and excitoprotective mechanisms: abundant targets for the prevention and treatment of neurodegenerative disorders,Mark Mattson,4,4,Who is the author of Excitotoxic and excitoprotective mechanisms: abundant targets for the prevention and treatment of neurodegenerative disorders?
7018,Q24563083,P50,Q5585214,train,Evaluation of impairment of health related quality of life in asthma: development of a questionnaire for use in clinical trials,Gordon Guyatt,5,5,Who is the author of Evaluation of impairment of health related quality of life in asthma: development of a questionnaire for use in clinical trials?
7019,Q24674295,P50,Q6153626,train,PROMOTIF--a program to identify and analyze structural motifs in proteins,Janet Thornton,5,5,Who is the author of PROMOTIF--a program to identify and analyze structural motifs in proteins?
7020,Q28144748,P50,Q1928530,train,Evidence based cardiology: psychosocial factors in the aetiology and prognosis of coronary heart disease. Systematic review of prospective cohort studies,Michael Marmot,4,4,Who is the author of Evidence based cardiology: psychosocial factors in the aetiology and prognosis of coronary heart disease. Systematic review of prospective cohort studies?
7021,Q22122480,P50,Q2149481,train,Interchromosomal associations between alternatively expressed loci,Richard Flavell,5,5,Who is the author of Interchromosomal associations between alternatively expressed loci?
7022,Q24649537,P50,Q5541413,train,A role for brain stress systems in addiction,George Koob,5,5,Who is the author of A role for brain stress systems in addiction?
7023,Q24531755,P50,Q87981947,train,A role for docosahexaenoic acid-derived neuroprotectin D1 in neural cell survival and Alzheimer disease,Charles N Serhan,5,5,Who is the author of A role for docosahexaenoic acid-derived neuroprotectin D1 in neural cell survival and Alzheimer disease?
7024,Q24671757,P50,Q21165363,train,"A subcortical pathway to the right amygdala mediating ""unseen"" fear",Raymond Joseph Dolan,5,5,"Who is the author of A subcortical pathway to the right amygdala mediating ""unseen"" fear?"
7025,Q27486022,P50,Q22669757,train,Expression and identification of hepatitis C virus polyprotein cleavage products,Charles M. Rice,5,5,Who is the author of Expression and identification of hepatitis C virus polyprotein cleavage products?
7026,Q28639814,P50,Q26321,train,A tandemly repeated sequence at the termini of the extrachromosomal ribosomal RNA genes in Tetrahymena,Elizabeth Blackburn,4,4,Who is the author of A tandemly repeated sequence at the termini of the extrachromosomal ribosomal RNA genes in Tetrahymena?
7027,Q24296288,P50,Q38323975,train,T-cell receptor cross-linking transiently stimulates adhesiveness through LFA-1,Michael L Dustin,5,5,Who is the author of T-cell receptor cross-linking transiently stimulates adhesiveness through LFA-1?
7028,Q28262859,P50,Q469904,train,"Detection, isolation, and continuous production of cytopathic retroviruses (HTLV-III) from patients with AIDS and pre-AIDS",Robert Gallo,4,4,"Who is the author of Detection, isolation, and continuous production of cytopathic retroviruses (HTLV-III) from patients with AIDS and pre-AIDS?"
7029,Q30378433,P50,Q60393320,train,Updated clinical classification of pulmonary hypertension.,Mark T Gladwin,5,5,Who is the author of Updated clinical classification of pulmonary hypertension.?
7030,Q27860468,P50,Q903471,train,All-atom empirical potential for molecular modeling and dynamics studies of proteins,Martin Karplus,4,4,Who is the author of All-atom empirical potential for molecular modeling and dynamics studies of proteins?
7031,Q24680405,P50,Q19277113,train,Adoptive T cell therapy for cancer in the clinic,Carl H. June,5,5,Who is the author of Adoptive T cell therapy for cancer in the clinic?
7032,Q28215274,P50,Q20979195,train,"Fish consumption, fish oil, omega-3 fatty acids, and cardiovascular disease",Lawrence Appel,4,4,"Who is the author of Fish consumption, fish oil, omega-3 fatty acids, and cardiovascular disease?"
7033,Q34429470,P50,Q22670611,train,Pathophysiology of coronary artery disease,Peter Libby,5,5,Who is the author of Pathophysiology of coronary artery disease?
7034,Q30322232,P50,Q23890446,train,Emotional responses to pleasant and unpleasant music correlate with activity in paralimbic brain regions.,Alan C. Evans,5,5,Who is the author of Emotional responses to pleasant and unpleasant music correlate with activity in paralimbic brain regions.?
7035,Q24612411,P50,Q29839772,train,European guidance for the diagnosis and management of osteoporosis in postmenopausal women,Cyrus Cooper,4,4,Who is the author of European guidance for the diagnosis and management of osteoporosis in postmenopausal women?
7036,Q40804261,P50,Q37390385,train,Is pulse pressure useful in predicting risk for coronary heart Disease? The Framingham heart study.,Martin G Larson,5,5,Who is the author of Is pulse pressure useful in predicting risk for coronary heart Disease? The Framingham heart study.?
7037,Q29614910,P50,Q4757729,train,Accuracy of clinical diagnosis of idiopathic Parkinson's disease: a clinico-pathological study of 100 cases,Andrew John Lees,5,5,Who is the author of Accuracy of clinical diagnosis of idiopathic Parkinson's disease: a clinico-pathological study of 100 cases?
7038,Q22008593,P50,Q1173787,train,Genomic amplification of a decoy receptor for Fas ligand in lung and colon cancer,David Botstein,4,4,Who is the author of Genomic amplification of a decoy receptor for Fas ligand in lung and colon cancer?
7039,Q24657457,P50,Q1579050,train,Modeling Development and Disease with Organoids,Hans Clevers,5,5,Who is the author of Modeling Development and Disease with Organoids?
7040,Q24646174,P50,Q18062122,train,Meta-analysis of prospective cohort studies evaluating the association of saturated fat with cardiovascular disease,Frank Hu,3,3,Who is the author of Meta-analysis of prospective cohort studies evaluating the association of saturated fat with cardiovascular disease?
7041,Q28250305,P50,Q18546138,train,Corticocortical inhibition in human motor cortex,David Marsden,4,4,Who is the author of Corticocortical inhibition in human motor cortex?
7042,Q28274012,P50,Q18749055,train,Central obesity and increased risk of dementia more than three decades later,Kristine Yaffe,5,5,Who is the author of Central obesity and increased risk of dementia more than three decades later?
7043,Q24685585,P50,Q19996372,train,"Bias in meta-analysis detected by a simple, graphical test",Matthias Egger,4,4,"Who is the author of Bias in meta-analysis detected by a simple, graphical test?"
7044,Q24681205,P50,Q309979,train,"Synapsin I (protein I), a nerve terminal-specific phosphoprotein. III. Its association with synaptic vesicles studied in a highly purified synaptic vesicle preparation",Paul Greengard,4,4,"Who is the author of Synapsin I (protein I), a nerve terminal-specific phosphoprotein. III. Its association with synaptic vesicles studied in a highly purified synaptic vesicle preparation?"
7045,Q28185502,P50,Q322114,train,Comparison of early invasive and conservative strategies in patients with unstable coronary syndromes treated with the glycoprotein IIb/IIIa inhibitor tirofiban,Eugene Braunwald,5,5,Who is the author of Comparison of early invasive and conservative strategies in patients with unstable coronary syndromes treated with the glycoprotein IIb/IIIa inhibitor tirofiban?
7046,Q33971332,P50,Q5543353,train,Oxidative stress in Alzheimer's disease,George Perry,3,3,Who is the author of Oxidative stress in Alzheimer's disease?
7047,Q26746516,P50,Q7173587,train,Safety out of control: dopamine and defence,Peter Dayan,4,4,Who is the author of Safety out of control: dopamine and defence?
7048,Q22122001,P50,Q7248791,train,Repetitive DNA and next-generation sequencing: computational challenges and solutions,Steven Salzberg,4,4,Who is the author of Repetitive DNA and next-generation sequencing: computational challenges and solutions?
7049,Q28111696,P50,Q904654,train,Regulation of translation initiation in eukaryotes: mechanisms and biological targets,Nahum Sonenberg,5,5,Who is the author of Regulation of translation initiation in eukaryotes: mechanisms and biological targets?
7050,Q28205343,P50,Q1084303,train,Computational modelling of visual attention,Christof Koch,4,4,Who is the author of Computational modelling of visual attention?
7051,Q26778451,P50,Q117008,train,"A low-cost, high-efficiency solar cell based on dye-sensitized colloidal TiO2 films",Michael Grätzel,5,5,"Who is the author of A low-cost, high-efficiency solar cell based on dye-sensitized colloidal TiO2 films?"
7052,Q24535690,P50,Q16947166,train,Novel adeno-associated viruses from rhesus monkeys as vectors for human gene therapy,James Wilson,3,3,Who is the author of Novel adeno-associated viruses from rhesus monkeys as vectors for human gene therapy?
7053,Q24524125,P50,Q1982431,train,The structural basis of protein folding and its links with human disease,Chris Dobson,5,5,Who is the author of The structural basis of protein folding and its links with human disease?
7054,Q24799154,P50,Q28036061,train,The CONSORT statement: revised recommendations for improving the quality of reports of parallel group randomized trials,David Moher,4,4,Who is the author of The CONSORT statement: revised recommendations for improving the quality of reports of parallel group randomized trials?
7055,Q24311601,P50,Q336658,train,Fusion between transcription factor CBF beta/PEBP2 beta and a myosin heavy chain in acute myeloid leukemia,Francis Collins,3,3,Who is the author of Fusion between transcription factor CBF beta/PEBP2 beta and a myosin heavy chain in acute myeloid leukemia?
7056,Q28208103,P50,Q5416184,train,Central pattern generators and the control of rhythmic movements,Eve Marder,4,4,Who is the author of Central pattern generators and the control of rhythmic movements?
7057,Q33577551,P50,Q57425986,train,Systemic effects of inflammation on health during chronic HIV infection,Steven G Deeks,5,5,Who is the author of Systemic effects of inflammation on health during chronic HIV infection?
7058,Q27025091,P50,Q71037672,train,Animal models of traumatic brain injury,Michael Chopp,4,4,Who is the author of Animal models of traumatic brain injury?
7059,Q27860943,P50,Q822617,train,Eukaryotic transient-expression system based on recombinant vaccinia virus that synthesizes bacteriophage T7 RNA polymerase,Bernard Moss,4,4,Who is the author of Eukaryotic transient-expression system based on recombinant vaccinia virus that synthesizes bacteriophage T7 RNA polymerase?
7060,Q35025114,P50,Q93363551,train,The acute respiratory distress syndrome: pathogenesis and treatment,Michael Matthay,4,4,Who is the author of The acute respiratory distress syndrome: pathogenesis and treatment?
7061,Q29547283,P50,Q15488818,train,Banting lecture 1988. Role of insulin resistance in human disease,Gerald Reaven,5,5,Who is the author of Banting lecture 1988. Role of insulin resistance in human disease?
7062,Q31147557,P50,Q17505360,train,Effects of computerized physician order entry and clinical decision support systems on medication safety: a systematic review,David W Bates,5,5,Who is the author of Effects of computerized physician order entry and clinical decision support systems on medication safety: a systematic review?
7063,Q22251023,P50,Q18631415,train,Advances in autism genetics: on the threshold of a new neurobiology,Daniel Geschwind,5,5,Who is the author of Advances in autism genetics: on the threshold of a new neurobiology?
7064,Q34277948,P50,Q19281782,train,Evaluating the yield of medical tests,Robert Califf,4,4,Who is the author of Evaluating the yield of medical tests?
7065,Q28200181,P50,Q2078780,train,"Tumor hypoxia: definitions and current clinical, biologic, and molecular aspects",Peter Vaupel,5,5,"Who is the author of Tumor hypoxia: definitions and current clinical, biologic, and molecular aspects?"
7066,Q24648624,P50,Q29017279,train,mTOR regulates memory CD8 T-cell differentiation,Rafi Ahmed,5,5,Who is the author of mTOR regulates memory CD8 T-cell differentiation?
7067,Q34299363,P50,Q30223679,train,Five-hundred life-saving interventions and their cost-effectiveness,Milton Weinstein,4,4,Who is the author of Five-hundred life-saving interventions and their cost-effectiveness?
7068,Q34480866,P50,Q3167023,train,"Use of the SOFA score to assess the incidence of organ dysfunction/failure in intensive care units: results of a multicenter, prospective study. Working group on ""sepsis-related problems"" of the European Society of Intensive Care Medicine.",Jean-Louis Vincent,5,5,"Who is the author of Use of the SOFA score to assess the incidence of organ dysfunction/failure in intensive care units: results of a multicenter, prospective study. Working group on ""sepsis-related problems"" of the European Society of Intensive Care Medicine.?"
7069,Q34022880,P50,Q37321044,train,From social integration to health: Durkheim in the new millennium,Teresa Seeman,4,4,Who is the author of From social integration to health: Durkheim in the new millennium?
7070,Q28204758,P50,Q37377244,train,Tolerization of dendritic cells by T(S) cells: the crucial role of inhibitory receptors ILT3 and ILT4,Marco Colonna,4,4,Who is the author of Tolerization of dendritic cells by T(S) cells: the crucial role of inhibitory receptors ILT3 and ILT4?
7071,Q26822851,P50,Q38326936,train,Cortical parvalbumin interneurons and cognitive dysfunction in schizophrenia,David A Lewis,4,4,Who is the author of Cortical parvalbumin interneurons and cognitive dysfunction in schizophrenia?
7072,Q28036747,P50,Q38803238,train,Irinotecan combined with fluorouracil compared with fluorouracil alone as first-line treatment for metastatic colorectal cancer: a multicentre randomised trial,David Cunningham,5,5,Who is the author of Irinotecan combined with fluorouracil compared with fluorouracil alone as first-line treatment for metastatic colorectal cancer: a multicentre randomised trial?
7073,Q34418948,P50,Q5052855,train,Clinical factors associated with calcific aortic valve disease. Cardiovascular Health Study,Catherine Otto,4,4,Who is the author of Clinical factors associated with calcific aortic valve disease. Cardiovascular Health Study?
7074,Q28138956,P50,Q5236159,train,PET imaging of serotonin 1A receptor binding in depression,David Kupfer,5,5,Who is the author of PET imaging of serotonin 1A receptor binding in depression?
7075,Q24273350,P50,Q5301676,train,How drugs get into cells: tested and testable predictions to help discriminate between transporter-mediated uptake and lipoidal bilayer diffusion,Douglas Kell,4,4,Who is the author of How drugs get into cells: tested and testable predictions to help discriminate between transporter-mediated uptake and lipoidal bilayer diffusion?
7076,Q22252985,P50,Q5592728,train,"The effectiveness and risks of bariatric surgery: an updated systematic review and meta-analysis, 2003-2012",Graham Colditz,4,4,"Who is the author of The effectiveness and risks of bariatric surgery: an updated systematic review and meta-analysis, 2003-2012?"
7077,Q24651529,P50,Q64858849,train,The beta2-adrenergic receptor/betaarrestin complex recruits the clathrin adaptor AP-2 during endocytosis,Marc G Caron,5,5,Who is the author of The beta2-adrenergic receptor/betaarrestin complex recruits the clathrin adaptor AP-2 during endocytosis?
7078,Q24657354,P50,Q7347468,train,A review of MRI findings in schizophrenia,Robert McCarley,5,5,Who is the author of A review of MRI findings in schizophrenia?
7079,Q29616407,P50,Q7383152,train,The role of dynamic conformational ensembles in biomolecular recognition,Ruth Nussinov,5,5,Who is the author of The role of dynamic conformational ensembles in biomolecular recognition?
7080,Q27931724,P50,Q740638,train,Identification of 23 complementation groups required for post-translational events in the yeast secretory pathway,Randy Schekman,5,5,Who is the author of Identification of 23 complementation groups required for post-translational events in the yeast secretory pathway?
7081,Q27860710,P50,Q7705033,train,A comparison of normalization methods for high density oligonucleotide array data based on variance and bias,Terry Speed,3,3,Who is the author of A comparison of normalization methods for high density oligonucleotide array data based on variance and bias?
7082,Q24319669,P50,Q7814993,train,Insights into DNA recombination from the structure of a RAD51-BRCA2 complex,Tom Blundell,5,5,Who is the author of Insights into DNA recombination from the structure of a RAD51-BRCA2 complex?
7083,Q24644712,P50,Q895547,train,A Nurr1/CoREST pathway in microglia and astrocytes protects dopaminergic neurons from inflammation-induced death,Fred Gage,4,4,Who is the author of A Nurr1/CoREST pathway in microglia and astrocytes protects dopaminergic neurons from inflammation-induced death?
7084,Q27619935,P50,Q101728,train,X-ray crystallographic structure of the Norwalk virus capsid,Michael Rossmann,4,4,Who is the author of X-ray crystallographic structure of the Norwalk virus capsid?
7085,Q24339631,P50,Q1388486,train,A human retinoic acid receptor which belongs to the family of nuclear receptors,Pierre Chambon,4,4,Who is the author of A human retinoic acid receptor which belongs to the family of nuclear receptors?
7086,Q27863709,P50,Q1795041,train,A novel influenza A virus mitochondrial protein that induces cell death.,Peter Palese,5,5,Who is the author of A novel influenza A virus mitochondrial protein that induces cell death.?
7087,Q28249509,P50,Q18686184,train,ASCORBATE AND GLUTATHIONE: Keeping Active Oxygen Under Control,Christine Foyer,4,4,Who is the author of ASCORBATE AND GLUTATHIONE: Keeping Active Oxygen Under Control?
7088,Q28219427,P50,Q194539,train,Nanoparticles with Raman spectroscopic fingerprints for DNA and RNA detection,Chad Mirkin,5,5,Who is the author of Nanoparticles with Raman spectroscopic fingerprints for DNA and RNA detection?
7089,Q29622870,P50,Q20657126,train,UniFrac--an online tool for comparing microbial community diversity in a phylogenetic context,Rob Knight,3,3,Who is the author of UniFrac--an online tool for comparing microbial community diversity in a phylogenetic context?
7090,Q33961645,P50,Q2074086,train,Efficacy and safety of a dual inhibitor of 5-alpha-reductase types 1 and 2 (dutasteride) in men with benign prostatic hyperplasia,Peter Boyle,4,4,Who is the author of Efficacy and safety of a dual inhibitor of 5-alpha-reductase types 1 and 2 (dutasteride) in men with benign prostatic hyperplasia?
7091,Q17485692,P50,Q21166848,train,Determinants of relapse periodicity in Plasmodium vivax malaria,Nicholas John White,4,4,Who is the author of Determinants of relapse periodicity in Plasmodium vivax malaria?
7092,Q27472671,P50,Q28051146,train,Alpha/beta interferon protects against lethal West Nile virus infection by restricting cellular tropism and enhancing neuronal survival,Michael S. Diamond,5,5,Who is the author of Alpha/beta interferon protects against lethal West Nile virus infection by restricting cellular tropism and enhancing neuronal survival?
7093,Q29615123,P50,Q28359691,train,From best evidence to best practice: effective implementation of change in patients' care,Jeremy Grimshaw,5,5,Who is the author of From best evidence to best practice: effective implementation of change in patients' care?
7094,Q28202115,P50,Q29887911,train,Biomimetic materials for tissue engineering,Antonios Mikos,5,5,Who is the author of Biomimetic materials for tissue engineering?
7095,Q36100774,P50,Q30348011,train,Rapid growth in infancy and childhood and obesity in later life--a systematic review,Cesar Victora,5,5,Who is the author of Rapid growth in infancy and childhood and obesity in later life--a systematic review?
7096,Q29619441,P50,Q30503192,train,The mutational spectrum of single base-pair substitutions in mRNA splice junctions of human genes: causes and consequences,David N. Cooper,5,5,Who is the author of The mutational spectrum of single base-pair substitutions in mRNA splice junctions of human genes: causes and consequences?
7097,Q33964426,P50,Q30505567,train,COMT val158met genotype affects mu-opioid neurotransmitter responses to a pain stressor,David Goldman,4,4,Who is the author of COMT val158met genotype affects mu-opioid neurotransmitter responses to a pain stressor?
7098,Q35039895,P50,Q32985045,train,"Arterial and cardiac aging: major shareholders in cardiovascular disease enterprises: Part I: aging arteries: a ""set up"" for vascular disease",Edward Lakatta,5,5,"Who is the author of Arterial and cardiac aging: major shareholders in cardiovascular disease enterprises: Part I: aging arteries: a ""set up"" for vascular disease?"
7099,Q28138580,P50,Q3298995,train,Systematic determination of genetic network architecture,George M. Church,5,5,Who is the author of Systematic determination of genetic network architecture?
7100,Q28242505,P50,Q35704729,train,Accumulation of abnormally phosphorylated tau precedes the formation of neurofibrillary tangles in Alzheimer's disease,Hans Lassmann,5,5,Who is the author of Accumulation of abnormally phosphorylated tau precedes the formation of neurofibrillary tangles in Alzheimer's disease?
7101,Q35062013,P50,Q37384108,train,Optimal caliper widths for propensity-score matching when estimating differences in means and differences in proportions in observational studies,Peter Austin,3,3,Who is the author of Optimal caliper widths for propensity-score matching when estimating differences in means and differences in proportions in observational studies?
7102,Q26782778,P50,Q37838769,train,Diversity and Inter-Connections in the CXCR4 Chemokine Receptor/Ligand Family: Molecular Perspectives,Christian Weber,4,4,Who is the author of Diversity and Inter-Connections in the CXCR4 Chemokine Receptor/Ligand Family: Molecular Perspectives?
7103,Q26749487,P50,Q39746881,train,Protein oxidation and peroxidation,Michael Jonathan Davies,4,4,Who is the author of Protein oxidation and peroxidation?
7104,Q30475598,P50,Q56954221,train,Research in people with psychosis risk syndrome: a review of the current evidence and future directions,Christoph Correll,4,4,Who is the author of Research in people with psychosis risk syndrome: a review of the current evidence and future directions?
7105,Q28298574,P50,Q62070764,train,Palifermin for oral mucositis after intensive therapy for hematologic cancers,Bruce R Blazar,5,5,Who is the author of Palifermin for oral mucositis after intensive therapy for hematologic cancers?
7106,Q36365423,P50,Q67264540,train,Involvement of the CD95 (APO-1/Fas) receptor and ligand in liver damage.,Wolfgang Stremmel,5,5,Who is the author of Involvement of the CD95 (APO-1/Fas) receptor and ligand in liver damage.?
7107,Q29614592,P50,Q6768494,train,A genome-wide association study of global gene expression,Mark Lathrop,5,5,Who is the author of A genome-wide association study of global gene expression?
7108,Q24628057,P50,Q7442,train,Cu-free click cycloaddition reactions in chemical biology,Carolyn Bertozzi,5,5,Who is the author of Cu-free click cycloaddition reactions in chemical biology?
7109,Q29547251,P50,Q809028,train,Neural systems of reinforcement for drug addiction: from actions to habits to compulsion,Barry Everitt,5,5,Who is the author of Neural systems of reinforcement for drug addiction: from actions to habits to compulsion?
7110,Q29615473,P50,Q89006575,train,Lung cancer,Roy S. Herbst,5,5,Who is the author of Lung cancer?
7111,Q34076012,P50,Q909289,train,Strategies for manipulating the p53 pathway in the treatment of human cancer.,David P. Lane,5,5,Who is the author of Strategies for manipulating the p53 pathway in the treatment of human cancer.?
7112,Q36378564,P50,Q91254753,train,"The perseverative cognition hypothesis: a review of worry, prolonged stress-related physiological activation, and health.",Julian F Thayer,5,5,"Who is the author of The perseverative cognition hypothesis: a review of worry, prolonged stress-related physiological activation, and health.?"
7113,Q24685772,P50,Q105958300,train,The 2007 WHO classification of tumours of the central nervous system,Peter C. Burger,5,5,Who is the author of The 2007 WHO classification of tumours of the central nervous system?
7114,Q27860949,P50,Q1564831,train,Peginterferon alfa-2b plus ribavirin compared with interferon alfa-2b plus ribavirin for initial treatment of chronic hepatitis C: a randomised trial,Michael Manns,4,4,Who is the author of Peginterferon alfa-2b plus ribavirin compared with interferon alfa-2b plus ribavirin for initial treatment of chronic hepatitis C: a randomised trial?
7115,Q29615382,P50,Q15989781,train,Exome sequencing as a tool for Mendelian disease gene discovery,Jay Shendure,5,5,Who is the author of Exome sequencing as a tool for Mendelian disease gene discovery?
7116,Q32085024,P50,Q21255846,train,Depression and cardiac mortality: results from a community-based longitudinal study,Brenda Penninx,5,5,Who is the author of Depression and cardiac mortality: results from a community-based longitudinal study?
7117,Q34101213,P50,Q2214357,train,The continuity of psychotic experiences in the general population.,Jim van Os,5,5,Who is the author of The continuity of psychotic experiences in the general population.?
7118,Q109007324,P50,Q2280919,train,"Synthesis, structure, and spectroscopic properties of copper(II) compounds containing nitrogen–sulphur donor ligands; the crystal and molecular structure of aqua[1,7-bis(N-methylbenzimidazol-2′-yl)-2,6-dithiaheptane]copper(II) perchlorate",Jan Reedijk,4,4,"Who is the author of Synthesis, structure, and spectroscopic properties of copper(II) compounds containing nitrogen–sulphur donor ligands; the crystal and molecular structure of aqua[1,7-bis(N-methylbenzimidazol-2′-yl)-2,6-dithiaheptane]copper(II) perchlorate?"
7119,Q34349130,P50,Q24005325,train,"Sex and depression in the National Comorbidity Survey. I: Lifetime prevalence, chronicity and recurrence",Dan Blazer,4,4,"Who is the author of Sex and depression in the National Comorbidity Survey. I: Lifetime prevalence, chronicity and recurrence?"
7120,Q29616550,P50,Q28028607,train,S-nitrosylation of Drp1 mediates beta-amyloid-related mitochondrial fission and neuronal injury,Adam Godzik,5,5,Who is the author of S-nitrosylation of Drp1 mediates beta-amyloid-related mitochondrial fission and neuronal injury?
7121,Q37045517,P50,Q28324237,train,The RIFLE criteria and mortality in acute kidney injury: A systematic review.,Claudio Ronco,5,5,Who is the author of The RIFLE criteria and mortality in acute kidney injury: A systematic review.?
7122,Q24308632,P50,Q2863363,train,Mutation of a nuclear succinate dehydrogenase gene results in mitochondrial respiratory chain deficiency,Arnold Munnich,5,5,Who is the author of Mutation of a nuclear succinate dehydrogenase gene results in mitochondrial respiratory chain deficiency?
7123,Q21651041,P50,Q30112579,train,The Human Amygdala: An Evolved System for Relevance Detection,Jordan Henry Grafman,5,5,Who is the author of The Human Amygdala: An Evolved System for Relevance Detection?
7124,Q33628356,P50,Q30347871,train,New knowledge on pathogenesis of bacterial enteric infections as applied to vaccine development,Robert E. Black,5,5,Who is the author of New knowledge on pathogenesis of bacterial enteric infections as applied to vaccine development?
7125,Q34114821,P50,Q3434896,train,Cytokine-induced sickness behaviour: mechanisms and implications,Robert Dantzer,5,5,Who is the author of Cytokine-induced sickness behaviour: mechanisms and implications?
7126,Q29014239,P50,Q369879,train,Implicit memory: History and current status.,Daniel Schacter,5,5,Who is the author of Implicit memory: History and current status.?
7127,Q24673663,P50,Q37385393,train,Subset of individuals with autism spectrum disorders and extreme macrocephaly associated with germline PTEN tumour suppressor gene mutations,Charis Eng,4,4,Who is the author of Subset of individuals with autism spectrum disorders and extreme macrocephaly associated with germline PTEN tumour suppressor gene mutations?
7128,Q28307042,P50,Q37830753,train,Hereditary pancreatitis and the risk of pancreatic cancer. International Hereditary Pancreatitis Study Group,Patrick Maisonneuve,4,4,Who is the author of Hereditary pancreatitis and the risk of pancreatic cancer. International Hereditary Pancreatitis Study Group?
7129,Q24656322,P50,Q3814528,train,Native protein sequences are close to optimal for their structures,David Baker,3,3,Who is the author of Native protein sequences are close to optimal for their structures?
7130,Q35104793,P50,Q39880503,train,The metallobiology of Alzheimer's disease,Ashley I. Bush,5,5,Who is the author of The metallobiology of Alzheimer's disease?
7131,Q34499058,P50,Q41546003,train,"Aggregation-Induced Emission: Together We Shine, United We Soar!",Ben Zhong Tang,5,5,"Who is the author of Aggregation-Induced Emission: Together We Shine, United We Soar!?"
7132,Q34588710,P50,Q41778370,train,Atrial fibrosis: mechanisms and clinical relevance in atrial fibrillation.,Stanley Nattel,4,4,Who is the author of Atrial fibrosis: mechanisms and clinical relevance in atrial fibrillation.?
